setname,filename,is_nd2,Image_Metadata_Plate,n_sites,n_channels,n_images,image_width,count_cpa,count_user,frac_user,frac_cpa
ErinQC,Classifier_Batch12_Erin,FALSE,BRO01177034_20x,3465,5,17325,2000,520,425,0.02,0.03
ErinQC,Classifier_NC_BIN1_Erin,FALSE,CP_Broad_Phenix_NC_BIN1_1Plane_P1,1152,5,5760,2160,1275,720,0.12,0.22
ErinQC,Classifier_NC_BIN1_Erin,FALSE,CP_Broad_Phenix_NC_BIN1_1Plane_P2,1152,5,5760,2160,1465,345,0.06,0.25
ErinQC,Classifier_NC_BIN1_Erin,FALSE,CP_Broad_Phenix_NC_BIN1_1Plane_P3,1152,5,5760,2160,1725,615,0.11,0.3
ErinQC,Classifier_NC_BIN1_Erin,FALSE,CP_Broad_Phenix_NC_BIN1_1Plane_P4,1152,5,5760,2160,2045,450,0.08,0.36
ErinQC,Classifier_NC_BIN1_Erin,FALSE,CP_Broad_Phenix_NC_BIN1_P1,1152,5,5760,2160,1860,530,0.09,0.32
ErinQC,Classifier_NC_BIN1_Erin,FALSE,CP_Broad_Phenix_NC_BIN1_P2,1152,5,5760,2160,2590,310,0.05,0.45
ErinQC,Classifier_NC_BIN1_Erin,FALSE,CP_Broad_Phenix_NC_BIN1_P3,1151,5,5755,2160,2775,410,0.07,0.48
ErinQC,Classifier_NC_BIN1_Erin,FALSE,CP_Broad_Phenix_NC_BIN1_P4,1151,5,5755,2160,3050,310,0.05,0.53
ErinQC,Classifier_Batch10_Erin,TRUE,BR00117061a,3456,4,13824,1608,3504,2852,0.21,0.25
ErinQC,Classifier_Batch10_Erin,TRUE,BR00117062a,3456,4,13824,1608,6556,5872,0.42,0.47
ErinQC,Classifier_Batch10_Erin,TRUE,BR00117063b,3456,4,13824,1608,5824,5204,0.38,0.42
