Image_Metadata_MasterIndex,ImageNumber,ObjectNumber,Class,Image_ImageQuality_TotalArea_OrigDNA.x,UserAnnotation_Debris,UserAnnotation_Ded,UserAnnotation_Empty,UserAnnotation_Saturated,UserAnnotation_Blurry,Image_PathName_OrigAGP,Image_PathName_OrigDNA,Image_PathName_OrigER,Image_PathName_OrigMito,Image_PathName_OrigRNA,Image_URL_OrigAGP,Image_URL_OrigDNA,Image_URL_OrigER,Image_URL_OrigMito,Image_URL_OrigRNA,Image_PathName_OrigActin,Image_PathName_OrigGolgi,Image_URL_OrigActin,Image_URL_OrigGolgi,Image_ImageQuality_TotalArea_OrigDNA.y
15,258,1,Mito,4000000,1,0,0,0,0,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0029F0006T0001Z000C4.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0029F0006T0001Z000C1.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0029F0006T0001Z000C2.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0029F0006T0001Z000C5.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0029F0006T0001Z000C3.tif,NA,NA,NA,NA,4000000
14,252,1,Mito,4000000,1,0,0,0,0,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0028F0009T0001Z000C4.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0028F0009T0001Z000C1.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0028F0009T0001Z000C2.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0028F0009T0001Z000C5.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0028F0009T0001Z000C3.tif,NA,NA,NA,NA,4000000
13,238,1,Mito,4000000,1,0,0,0,0,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0027F0004T0001Z000C4.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0027F0004T0001Z000C1.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0027F0004T0001Z000C2.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0027F0004T0001Z000C5.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0027F0004T0001Z000C3.tif,NA,NA,NA,NA,4000000
12,180,1,Mito,4000000,1,0,0,0,0,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0020F0009T0001Z000C4.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0020F0009T0001Z000C1.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0020F0009T0001Z000C2.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0020F0009T0001Z000C5.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0020F0009T0001Z000C3.tif,NA,NA,NA,NA,4000000
11,149,1,Mito,4000000,1,0,0,0,0,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0017F0005T0001Z000C4.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0017F0005T0001Z000C1.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0017F0005T0001Z000C2.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0017F0005T0001Z000C5.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0017F0005T0001Z000C3.tif,NA,NA,NA,NA,4000000
20,377,1,Mito,4000000,1,0,0,0,0,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0042F0008T0001Z000C4.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0042F0008T0001Z000C1.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0042F0008T0001Z000C2.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0042F0008T0001Z000C5.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0042F0008T0001Z000C3.tif,NA,NA,NA,NA,4000000
19,348,1,Mito,4000000,1,0,0,0,0,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0039F0006T0001Z000C4.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0039F0006T0001Z000C1.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0039F0006T0001Z000C2.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0039F0006T0001Z000C5.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0039F0006T0001Z000C3.tif,NA,NA,NA,NA,4000000
18,330,1,Mito,4000000,1,0,0,0,0,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0037F0006T0001Z000C4.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0037F0006T0001Z000C1.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0037F0006T0001Z000C2.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0037F0006T0001Z000C5.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0037F0006T0001Z000C3.tif,NA,NA,NA,NA,4000000
17,280,1,Mito,4000000,1,0,0,0,0,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0032F0001T0001Z000C4.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0032F0001T0001Z000C1.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0032F0001T0001Z000C2.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0032F0001T0001Z000C5.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0032F0001T0001Z000C3.tif,NA,NA,NA,NA,4000000
16,261,1,Mito,4000000,1,0,0,0,0,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0029F0009T0001Z000C4.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0029F0009T0001Z000C1.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0029F0009T0001Z000C2.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0029F0009T0001Z000C5.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0029F0009T0001Z000C3.tif,NA,NA,NA,NA,4000000
